StudentID,Name,Gender,Age,GradeLevel,GPA,MathScore,EnglishScore,ScienceScore,AttendanceRate,BehaviorNotes,ParentalSupport,City,SchoolName,RegisteredDate
S1049,Lama Alshammari,MALE,17,12,3.56,80,65,70,90.8,Good,no,JEDDAH,Future  School,6/28/2021
S1050,Lama Alshammari,Male,15,12,3.36,70,65,70,88,Average,FALSE,JEDDAH,Future  School,6/13/2023
S1051,Reem Alqahtani,M,16,10,3.36,60,65,100,80.2,Needs Improvement,Y,JEDDAH,Future  School,2/22/2022
S1052,Lama Alghamdi,F,16,11,3.22,80,75,70,88,bad,Y,Dammam,Bright academy,7/10/2022
S1053,Omar Alqahtani,Male,18,12,3.01,80,65,60,94.7,bad,N,Jeddah,Future  School,2/22/2023
S1054,Nora Almutairi,M,17,11,3.34,80,55,80,91.6,Average,yes,jedda,Future School,3/19/2021
S1055,Khalid Alshammari,male,16,11,3.3,80,55,100,93.8,Good,FALSE,Jeddah,Bright academy,11/22/2021
S1056,Reem Alzahrani,Female,-1,10,2.82,80,65,,85.3,Average,TRUE,JEDDAH,Bright Academy,11/21/2022
S1057,Layla Aldosari,F,15,11,2.71,70,65,100,103.7,Average,Y,riyadh,Future School,12/23/2021
S1058,Khalid Alharbi,Female,16,11,3.05,60,75,50,80.2,Good,Y,Jeddah,Bright academy,2/20/2022
S1059,Ali Alqahtani,male,15,11,3.77,80,55,80,96.9,Average,Y,jedda,Bright Academy,8/21/2023
S1060,Nora Alqahtani,M,17,11,2.38,80,65,60,103.8,Good,N,jedda,Bright Academy,5/30/2022
S1061,Khalid Alharbi,MALE,200,12,2.27,80,75,50,96.8, ,Y,jedda,Bright Academy,8/2/2021
S1062,Reem Alotaibi,male,16,12,3.08,60,75,60,90,Needs Improvement,TRUE,Jeddah,Bright academy,5/4/2023
S1063,Sara Alshehri,male,18,11,3.03,60,65,70,86.7,bad,N,jedda,Bright Academy,3/15/2021
S1064,Nora Alghamdi,F,16,10,3.09,90,65,60,102.4,Excellent,yes,Riyad,Future School,7/17/2022
S1065,Ahmed Almutairi,female,200,11,3.12,80,65,50,77.8,bad,FALSE,JEDDAH,Future School,8/2/2022
S1066,Lama Aldosari,Female,17,12,2.89,90,85,70,82.3,Excellent,yes,Riyadh,Bright academy,5/24/2022
S1067,Omar Alsubaie,Female,18,11,3.74,80,55,100,88,bad,yes,Riyad,Bright Academy,11/28/2021
S1068,Ali Alharbi,FEMALE,15,10,2.2,80,85,60,104.4,bad,Y,jedda,Bright Academy,4/3/2021
S1069,Khalid Alharbi,male,-1,10,2.59,80,75,50,95.8, ,TRUE,Riyadh,Bright Academy,11/19/2022
S1070,Nora Alshammari,FEMALE,17,11,2.95,90,65,60,82.3,bad,N,Jeddah,Bright academy,10/19/2022
S1071,Khalid Alshehri,FEMALE,16,12,2.18,80,nan,,88.9,Excellent,Y,JEDDAH,Future School,6/3/2022
S1072,Nora Alshammari,Male,18,12,2.91,80,65,80,85.9,bad,Yes,Riyadh,Bright academy,9/26/2021
S1073,Lama Alshammari,FEMALE,16,12,3.83,60,65,80,84.9,bad,Y,Riyad,Bright Academy,1/11/2022
S1074,Nora Alotaibi,F,18,12,3.01,70,55,70,101.8,Average,Y,JEDDAH,Future  School,4/14/2023
S1075,Faisal Alsubaie,M,15,10,3.12,80,75,60,78.3,Excellent,no,Dammam,Bright academy,1/4/2021
S1076,Ahmed Alqahtani,FEMALE,17,11,2.37,70,seventy,80,108.1, ,yes,riyadh,Bright Academy,5/18/2021
S1077,Nora Alsubaie,FEMALE,17,10,2.69,60,75,70,100.3,Average,No,JEDDAH,Bright Academy,8/19/2021
S1078,Ali Alqahtani,Male,15,10,2.81,70,75,80,102.9, ,Yes,JEDDAH,Future  School,8/23/2022
S1079,Lama Alqahtani,male,16,11,2.84,60,55,70,87.4,Average,no,JEDDAH,Bright Academy,6/13/2022
S1080,Reem Alshehri,M,15,11,3.64,60,65,80,90.5,Needs Improvement,N,Riyad,Future School,2/21/2021
S1081,Khalid Alshammari,FEMALE,16,10,3.28,70,55,70,77.7, ,Yes,Riyad,Future  School,10/8/2022
S1082,Layla Alsubaie,M,16,12,2.44,90,75,60,86.8,Excellent,N,Jeddah,Future  School,12/24/2022
S1083,Lama Alotaibi,male,17,12,3.12,70,85,100,96.9, ,No,Riyad,Future School,11/21/2021
S1084,Lama Alqahtani,Female,16,10,3.25,60,75,70,105,Needs Improvement,FALSE,Jeddah,Future School,9/19/2023
S1085,Reem Alharbi,male,16,11,3.57,60,55,70,80.9,bad,no,Jeddah,Future School,8/28/2023
S1086,Lama Aldosari,MALE,17,11,3.79,80,65,50,88.3, ,no,riyadh,Future School,6/24/2023
S1087,Layla Alghamdi,MALE,15,12,2.49,70,75,70,90.5,Excellent,yes,Riyad,Future School,1/1/2023
S1088,Reem Alshehri,Male,200,12,2.59,80,65,70,78,Average,No,Jeddah,Bright academy,12/18/2022
S1089,Reem Alsubaie,Male,18,10,2.37,80,75,50,97.9,bad,yes,JEDDAH,Future  School,12/24/2022
S1090,Nora Alghamdi,FEMALE,17,12,2.88,80,75,50,84.8, ,No,jedda,Future  School,10/4/2021
S1091,Ali Aldosari,male,17,10,3.23,70,75,70,90,Needs Improvement,yes,Riyad,Bright academy,6/20/2022
S1092,Lama Alotaibi,male,18,11,3.49,80,65,80,87.5,Excellent,yes,riyadh,Future School,5/1/2022
S1093,Sara Alzahrani,FEMALE,15,11,2.96,70,65,70,84.1,Good,No,JEDDAH,Future  School,5/31/2022
S1094,Layla Alqahtani,female,15,10,2.84,90,55,50,91.9,Needs Improvement,FALSE,jedda,Bright academy,6/1/2021
S1095,Omar Alharbi,F,16,11,3.08,80,65,70,89.8,Good,No,Riyadh,Future  School,8/13/2023
S1096,Nora Alqahtani,MALE,17,12,2.58,70,65,50,88.3,bad,TRUE,jedda,Future School,4/28/2022
S1097,Reem Alotaibi,MALE,15,11,4.04,70,75,60,84.7, ,yes,Riyad,Future  School,9/16/2021
S1098,Reem Alshammari,F,17,10,2.2,60,75,50,95.2,Excellent,Y,riyadh,Future School,11/20/2021
S1099,Ahmed Alshehri,FEMALE,-1,12,3.09,80,55,50,108.5,Excellent,N,riyadh,Bright Academy,5/19/2023
S1100,Lama Alotaibi,M,18,12,4.01,60,65,50,93.4,Good,N,JEDDAH,Future School,6/17/2021
S1101,Omar Alharbi,female,17,10,3,80,55,60,102,Needs Improvement,TRUE,JEDDAH,Bright Academy,11/19/2022
S1102,Sara Alsubaie,female,15,12,2.9,70,55,50,78.1,bad,No,jedda,Future  School,11/6/2021
S1103,Khalid Alotaibi,Female,18,12,2.82,80,75,60,93.6,Average,Yes,riyadh,Future School,3/14/2023
S1104,Khalid Almutairi,female,17,10,2.91,80,nan,70,81,Excellent,N,riyadh,Bright Academy,4/24/2022
S1105,Lama Alharbi,Male,15,12,3.69,80,65,60,77.2,Average,N,JEDDAH,Future  School,2/25/2021
S1106,Ali Alzahrani,Male,15,12,1.89,80,55,60,84.6,Excellent,FALSE,Dammam,Bright Academy,9/12/2022
S1107,Layla Aldosari,MALE,200,10,3.77,60,85,80,103.9,Good,No,Jeddah,Bright Academy,4/18/2022
S1108,Ahmed Alqahtani,FEMALE,17,11,2.29,60,75,50,101.5,Excellent,no,Riyad,Bright Academy,10/23/2021
S1109,Ali Alghamdi,Male,18,12,2.87,80,55,70,94.4,Excellent,Y,riyadh,Future School,4/6/2022
S1110,Layla Alshammari,male,18,10,2.79,70,65,50,76.7, ,N,Dammam,Future School,11/20/2021
S1111,Sara Alsubaie,F,17,10,3.29,70,75,50,90,Needs Improvement,Y,Dammam,Future  School,3/25/2023
S1112,Omar Alotaibi,F,17,12,2.2,nan,seventy,70,95,Average,Y,Dammam,Future School,4/26/2023
S1113,Faisal Alzahrani,MALE,16,10,3.23,70,55,70,93.8,Needs Improvement,Yes,riyadh,Bright academy,5/21/2021
S1114,Reem Aldosari,M,16,12,4.01,nan,85,80,73.6,Excellent,Y,Jeddah,Bright Academy,10/29/2022
S1115,Nora Alzahrani,FEMALE,16,10,2.32,90,85,70,83.1, ,no,Dammam,Bright Academy,9/19/2021
S1116,Omar Alshehri,male,17,12,3.09,60,85,100,91.4,bad,Y,jedda,Future  School,2/24/2023
S1117,Ahmed Almutairi,Female,17,12,2.67,80,75,,97.4,bad,No,JEDDAH,Bright academy,2/24/2022
S1118,Ahmed Alshehri,Female,18,11,3.21,nan,75,50,70,Needs Improvement,TRUE,Jeddah,Future School,1/14/2023
S1119,Khalid Alshammari,F,16,10,3.01,80,65,,90.4, ,Y,jedda,Future School,8/29/2021
S1120,Khalid Alshammari,F,17,11,2.68,70,75,50,93.4,bad,FALSE,jedda,Bright academy,12/21/2021
S1121,Reem Alshammari,M,17,10,3.24,90,65,70,100.5, ,no,Riyadh,Bright Academy,4/29/2023
S1122,Ali Alqahtani,female,17,12,3.9,90,75,70,98.9,bad,TRUE,Dammam,Bright academy,2/9/2023
S1123,Omar Alotaibi,male,17,12,2.9,70,65,,97.8,Average,N,riyadh,Future School,1/31/2023
S1124,Ali Alsubaie,M,16,12,3.36,90,75,100,84,bad,TRUE,Dammam,Bright academy,8/12/2022
S1125,Khalid Alghamdi,Male,17,10,2.35,eighty,75,80,72.9,Good,Y,riyadh,Future School,6/29/2021
S1126,Omar Almutairi,F,15,11,2.52,80,55,60,88.1, ,FALSE,Jeddah,Bright Academy,3/7/2021
S1127,Reem Alshehri,Male,16,11,3.24,80,75,50,102,Average,Y,JEDDAH,Bright academy,3/31/2023
S1128,Omar Alotaibi,Male,16,12,3.74,60,65,50,105.9,Excellent,No,Riyadh,Future School,12/14/2021
S1129,Layla Alshammari,FEMALE,17,10,3.18,80,75,50,99.1, ,No,JEDDAH,Future School,6/20/2021
S1130,Khalid Almutairi,M,-1,12,2.84,60,65,50,96.3,bad,Y,jedda,Bright Academy,4/19/2022
S1131,Reem Alshammari,male,17,10,3,60,65,70,95.8,Good,TRUE,Jeddah,Bright Academy,6/18/2022
S1132,Lama Aldosari,M,17,12,2.37,eighty,85,50,86.4,bad,N,riyadh,Future  School,1/2/2022
S1133,Reem Alshammari,male,17,11,3.3,70,65,60,90.7,Needs Improvement,no,Riyad,Bright Academy,4/17/2021
S1134,Khalid Alqahtani,Male,17,11,3.44,80,75,100,108.7,Good,Yes,jedda,Bright academy,3/15/2022
S1135,Layla Almutairi,MALE,15,12,2.77,80,65,70,82.6,bad,yes,riyadh,Future School,4/15/2023
S1136,Faisal Alshehri,female,16,12,2.76,90,65,100,108.1,bad,yes,Riyad,Bright academy,8/15/2021
S1137,Reem Almutairi,Male,16,11,3.13,eighty,65,50,88.8,Average,no,Riyadh,Future  School,3/20/2022
S1138,Omar Almutairi,F,16,10,2.78,60,75,60,105.3, ,yes,Riyadh,Future School,3/18/2022
S1139,Omar Aldosari,F,15,12,2.97,nan,65,70,77.9,Average,N,jedda,Bright academy,1/31/2022
S1140,Faisal Alshammari,Female,15,10,4.05,70,nan,50,97.9,Needs Improvement,FALSE,Riyadh,Future School,12/29/2022
S1141,Reem Aldosari,female,16,10,2.88,60,65,,84.6,bad,no,Riyad,Bright Academy,8/4/2022
S1142,Khalid Almutairi,M,-1,12,2.82,nan,nan,70,77.8,Excellent,Yes,jedda,Bright Academy,3/25/2021
S1143,Sara Alotaibi,Male,16,12,2.68,70,seventy,70,94.2, ,no,Dammam,Future  School,9/7/2022
S1144,Omar Alghamdi,FEMALE,16,10,3.37,80,seventy,60,102.1,Average,N,JEDDAH,Future School,7/5/2022
S1145,Reem Alotaibi,FEMALE,15,11,2.91,80,65,60,83.6,Good,N,riyadh,Bright Academy,1/13/2021
S1146,Nora Aldosari,Male,17,12,2.68,70,75,60,77,Excellent,TRUE,Dammam,Future  School,3/20/2023
S1147,Khalid Almutairi,Female,16,12,3.66,80,65,,91.1,Excellent,no,Riyad,Future School,4/5/2023
S1148,Khalid Alzahrani,FEMALE,16,10,3.71,60,75,60,91.1, ,Yes,Riyadh,Future  School,11/24/2022
S1149,Layla Almutairi,Male,17,11,2.7,nan,75,50,97.5,bad,Yes,jedda,Future  School,5/8/2022
S1150,Khalid Alshehri,Male,15,10,2.07,80,85,50,101.5,Average,TRUE,Riyadh,Future  School,9/25/2021
S1151,Reem Alghamdi,Male,15,10,3.5,80,65,100,91.4,Excellent,no,Jeddah,Bright Academy,6/9/2022
S1152,Ali Alzahrani,male,16,10,2.66,80,75,70,110.6,Good,yes,jedda,Bright academy,4/30/2021
S1153,Lama Alshehri,Male,15,11,3.4,nan,65,70,94.2, ,yes,Jeddah,Bright Academy,8/28/2023
S1154,Ahmed Alharbi,Male,15,11,2.01,80,seventy,60,88.5, ,Y,riyadh,Bright Academy,12/19/2021
S1155,Sara Almutairi,F,16,12,3.45,80,nan,60,75.9,Needs Improvement,FALSE,Dammam,Bright Academy,2/26/2021
S1156,Layla Alqahtani,Female,18,11,2.39,80,75,50,89.4,Average,TRUE,Riyad,Future School,2/9/2021
S1157,Khalid Alharbi,F,17,10,3.37,80,75,50,88.6, ,no,jedda,Future  School,6/5/2023
S1158,Lama Alharbi,F,17,11,3.01,90,75,50,101.6,bad,no,JEDDAH,Bright academy,12/2/2021
S1159,Layla Alsubaie,F,16,11,2.52,80,55,80,96.6,bad,No,Riyad,Bright academy,10/2/2022
S1160,Omar Almutairi,male,200,10,2.8,80,85,70,80.2,bad,Y,Dammam,Future  School,6/22/2021
S1161,Lama Alsubaie,Male,16,10,3.34,eighty,55,70,93.7,Average,yes,Riyadh,Future School,7/1/2022
S1162,Layla Alshammari,female,15,12,3.05,80,75,60,98.7,bad,no,Riyad,Future School,9/16/2021
S1163,Ali Almutairi,MALE,17,10,3.29,70,55,100,107.3,bad,N,Riyadh,Future School,6/7/2023
S1164,Khalid Alghamdi,M,15,10,3.99,80,65,50,100.9,Average,FALSE,Dammam,Future  School,6/1/2022
S1165,Faisal Alharbi,Male,16,12,2.22,70,65,60,99.6, ,no,JEDDAH,Bright Academy,12/31/2022
S1166,Omar Aldosari,F,17,12,3.81,60,65,60,92.6,Good,Y,riyadh,Bright Academy,6/7/2022
S1167,Ahmed Alshehri,male,18,12,3.05,80,55,80,95.9,Needs Improvement,N,Riyad,Bright academy,6/13/2023
S1168,Sara Almutairi,M,16,10,2.55,90,55,100,104.5,Good,Y,Dammam,Future School,4/19/2023
S1169,Faisal Alsubaie,female,17,11,2.33,90,65,50,78.7,Excellent,Y,JEDDAH,Future School,4/27/2021
S1170,Nora Alharbi,M,-1,11,2.91,70,75,80,88.5,Needs Improvement,Y,Riyad,Bright academy,7/3/2021
S1171,Ali Alqahtani,F,15,11,3.46,70,85,80,84.3,Needs Improvement,TRUE,Riyadh,Bright Academy,6/25/2023
S1172,Lama Alharbi,Female,16,11,2.94,60,55,50,95.8, ,No,jedda,Future School,5/24/2023
S1173,Faisal Alsubaie,Male,16,10,3.76,eighty,65,60,104.3, ,N,Riyadh,Future  School,4/26/2021
S1174,Reem Alghamdi,F,16,10,2.27,eighty,55,60,86, ,no,Riyad,Future School,6/11/2021
S1175,Lama Alshehri,FEMALE,16,10,2.99,80,nan,100,68.1,Average,Y,Dammam,Future School,8/2/2022
S1176,Ahmed Alzahrani,MALE,200,10,2.37,80,75,50,87.9,Average,Y,jedda,Bright academy,12/13/2022
S1177,Ali Alghamdi,male,17,11,3.18,80,75,80,101.1,Average,N,Jeddah,Future  School,6/27/2022
S1178,Khalid Alotaibi,FEMALE,17,12,3.44,80,55,60,97.4,Excellent,no,JEDDAH,Bright Academy,8/10/2022
S1179,Layla Alharbi,Male,16,12,2.79,60,55,70,96.3,Average,yes,riyadh,Bright Academy,8/25/2021
S1180,Sara Alqahtani,male,18,12,1.7,70,nan,60,89.2,Average,TRUE,JEDDAH,Future School,4/19/2023
S1181,Layla Aldosari,Female,-1,10,3.1,80,75,70,79.2, ,yes,Riyadh,Future School,3/7/2021
S1182,Nora Alshehri,Male,18,11,3.22,80,seventy,80,97.2,bad,Y,JEDDAH,Bright Academy,3/11/2021
S1183,Reem Alotaibi,male,15,12,3.2,70,55,80,83.7, ,TRUE,Dammam,Future School,3/20/2023
S1184,Ahmed Aldosari,FEMALE,17,11,3.62,90,55,80,113.8,bad,Y,jedda,Bright Academy,3/23/2022
S1185,Reem Alotaibi,MALE,15,11,2.46,60,85,50,97.7,Good,yes,JEDDAH,Future  School,2/20/2022
S1186,Nora Alshehri,male,16,10,3.34,70,85,70,86.2,Average,Y,Riyadh,Bright Academy,6/16/2022
S1187,Layla Aldosari,FEMALE,15,11,3.6,80,65,50,85.9,Needs Improvement,Yes,riyadh,Future  School,3/17/2022
S1188,Khalid Alshehri,M,17,10,2.11,80,55,60,91.1, ,Yes,Dammam,Future  School,1/8/2023
S1189,Layla Alzahrani,male,17,10,3.16,80,nan,70,89.6,Needs Improvement,N,Jeddah,Bright Academy,8/4/2023
S1190,Faisal Alqahtani,Male,15,11,2.75,70,75,60,103.2,Average,yes,Riyadh,Future  School,4/9/2022
S1191,Lama Alharbi,F,16,10,2.96,60,65,70,93.9,Good,no,JEDDAH,Bright academy,7/10/2023
S1192,Nora Alqahtani,Female,16,11,3.17,80,nan,100,84.7,Good,Y,JEDDAH,Bright Academy,1/31/2022
S1193,Omar Alsubaie,MALE,16,11,2.76,80,75,50,110.9,Excellent,yes,jedda,Bright Academy,12/12/2022
S1194,Ahmed Alotaibi,Female,15,11,2.66,60,nan,70,92.5,Needs Improvement,Y,JEDDAH,Bright Academy,7/5/2022
S1195,Nora Alqahtani,MALE,16,12,3.02,80,75,60,99.7,Needs Improvement,N,Riyadh,Future School,10/19/2022
S1196,Layla Alharbi,MALE,17,12,2.46,70,65,50,85.9, ,TRUE,Jeddah,Future  School,7/11/2022
S1197,Faisal Alqahtani,FEMALE,15,12,2.46,80,nan,50,95.6,bad,TRUE,Dammam,Bright Academy,1/30/2022
S1198,Nora Almutairi,MALE,15,10,3.34,80,75,100,95.1,Needs Improvement,TRUE,jedda,Bright Academy,11/22/2021
S1199,Reem Alsubaie,male,16,11,2.43,60,65,80,73.1,Excellent,Y,Jeddah,Future School,6/12/2023
S1200,Reem Aldosari,male,200,11,3.33,nan,seventy,100,112.2,bad,yes,Riyadh,Future School,7/8/2023
S1201,Ahmed Alharbi,F,17,11,3.23,80,65,100,104.9,Good,Yes,Dammam,Bright academy,4/1/2021
S1202,Lama Aldosari,F,17,10,2.14,80,65,50,88,bad,Y,Jeddah,Future  School,1/20/2023
S1203,Faisal Alharbi,M,16,12,2.66,80,75,60,81,Excellent,Yes,Dammam,Bright Academy,3/11/2021
S1204,Ali Alsubaie,MALE,17,11,3.6,80,65,70,95.5,Good,N,JEDDAH,Bright academy,6/15/2021
S1205,Khalid Alghamdi,FEMALE,15,12,2.51,80,85,60,92.9,Needs Improvement,yes,riyadh,Bright Academy,10/4/2022
S1206,Ahmed Alotaibi,female,17,12,2.77,eighty,65,60,95.6,Good,FALSE,Riyad,Bright Academy,8/2/2021
S1207,Ahmed Alqahtani,male,200,12,3.23,70,65,60,93.9,Excellent,Y,jedda,Bright academy,5/2/2023
S1208,Layla Alghamdi,F,17,11,3.39,70,55,70,97.1,Excellent,Yes,JEDDAH,Future  School,8/24/2022
S1209,Khalid Alghamdi,M,18,12,2.87,70,65,70,106.5, ,FALSE,riyadh,Future School,12/1/2021
S1210,Ali Alzahrani,Male,17,10,2.7,60,75,50,97.7,Excellent,Yes,jedda,Future  School,2/3/2023
S1211,Layla Alharbi,female,15,10,3.71,80,75,60,81.5,Needs Improvement,Yes,Riyadh,Bright academy,1/4/2022
S1212,Faisal Alqahtani,male,200,12,3.87,70,55,70,105.6,bad,N,riyadh,Future  School,5/11/2023
S1213,Omar Alghamdi,MALE,15,11,3.49,90,55,70,108.4,Excellent,yes,Riyad,Future School,8/7/2022
S1214,Layla Alharbi,F,17,10,3.04,80,75,50,123.5, ,FALSE,jedda,Bright academy,11/8/2022
S1215,Faisal Alzahrani,male,15,11,2.6,80,85,70,80.8,bad,Y,Dammam,Future School,2/18/2021
S1216,Sara Almutairi,female,15,12,2.58,70,55,,94.4,Needs Improvement,Y,Riyadh,Future  School,2/21/2021
S1217,Layla Alshammari,FEMALE,16,10,3.26,60,65,60,71.2,Good,Y,jedda,Bright academy,10/16/2021
S1218,Khalid Aldosari,M,16,12,3.21,nan,65,80,97.5,bad,No,Riyad,Future  School,3/1/2023
S1219,Faisal Alqahtani,FEMALE,16,10,3.7,70,85,70,86.5, ,yes,riyadh,Future School,9/18/2022
S1220,Ahmed Aldosari,Female,17,12,3.33,60,55,60,111.2,Good,Yes,Jeddah,Future  School,8/27/2021
S1221,Layla Alshammari,Female,15,10,2.25,80,55,70,84.3,Excellent,TRUE,Riyadh,Bright Academy,5/13/2021
S1222,Lama Alghamdi,male,15,10,3.53,90,75,70,75.1,Good,yes,JEDDAH,Future  School,9/26/2023
S1223,Nora Alshammari,FEMALE,17,10,2.5,90,55,80,87.3,Good,Y,Jeddah,Bright academy,2/25/2023
S1224,Lama Alghamdi,female,16,10,2.81,80,65,70,72.2,Good,yes,Dammam,Future School,6/15/2021
S1225,Ahmed Alshammari,M,17,11,3.13,60,65,70,99.5,Needs Improvement,no,riyadh,Bright academy,1/9/2022
S1226,Layla Alshammari,male,17,12,4,90,65,60,71.3,Good,No,riyadh,Future  School,1/8/2022
S1227,Reem Alshehri,female,18,10,4.55,90,65,50,92.3,bad,no,Riyadh,Bright academy,3/16/2023
S1228,Reem Alsubaie,male,17,11,3.3,60,65,60,71.2,Average,No,riyadh,Future School,4/23/2022
S1229,Omar Alotaibi,male,16,12,2.91,80,55,60,88.8, ,Yes,Dammam,Future School,1/25/2023
S1230,Faisal Alqahtani,Male,17,11,3.27,70,75,70,108.4, ,no,jedda,Bright academy,4/24/2022
